"Y","01/26/2018 13:00:00","01/26/2018 13:23:00","Containers","How Red Hat builds containers","This presentation is about OSBS, why it was created, how it was developed and what the future plans. The presentation would show what other parts a good buildsystem needs other than 'docker build', how OSBS is integrated in release pipeline.The final part of the presentation would cover other topics for OSBS - flatpak building, coupled with Modularity efforts and future OCI tools/containers support.","Luiz Carvalho; Vadim Rutkovsky","C-D0207",,"Containers"
"Y","01/26/2018 12:00:00","01/26/2018 12:53:00","Storage","Everything you wanted to know about object storage","The rapid growth of unstructured data is fueling the need for a next generation storage that’s flexible, economical, and scalable enough to handle the petabytes of data being created every day. Object storage is the answer!  Ceph is a highly available distributed software defined storage, that provides two object storage interfaces: Rados provides native object storage API using a rich library with C/C++, java, python, go and several others bindings. Ceph RGW (Rados Gateway) provides HTTP REST API that is Amazon S3 and openstack swift compatible. In this talk I will introduce object storage foundations, best practices and Ceph object storage solution.","Orit Wasserman","G-E105",,"Cloud,Storage"
"Y","01/26/2018 14:30:00","01/26/2018 14:53:00","Desktop","PipeWire: Rethinking Multimedia","PipeWire is a multimedia API that makes it easier to build distributed real-time multimedia pipelines. It was originally built to provide shared access to cameras but it can also be used to build a variety of multimedia services such as a sound server. PipeWire is built on top of a new low-level plugin API (SPA for Simple Plugin API) that is designed to be simple, efficient and suitable for hard real-time processing.  In this presentation I want to talk about the design ideas, the current status and the future plans for PipeWire.","Wim Taymans","E-G202",,"Desktop,Development,Middleware"
"Y","01/26/2018 11:00:00","01/26/2018 11:53:00","Containers","Next-gen container images","This presentation is an overview of the tooling and techniques to produce next-gen container images! More details:  * containerized services which can be easily configured * maintaining dockerfiles for multiple versions and distributions * container testing* automation of the delivery","Eliska Slobodova; Tomas Tomecek","C-D0207",,"Containers,Platform/OS,Security,Testing"
"Y","01/26/2018 11:30:00","01/26/2018 12:23:00","Security & IdM","Unleashing the Underworld: Kerberos for Developers","Kerberos has long been a demand of the enterprise environment, and there's a lot for security-conscious developers to like that we often don't talk about.  I'll touch on what makes Kerberos nice from a security perspective, but the focus of the talk will be on enablement: how can you use these cool features in your software?  Some features, time permitting, that will be discussed include: OTP and second factor support, public key authentication, SAML/SPNEGO and web logins, python bindings, and, of course, the more traditional authentication/encryption routes. Expect canned demos!  Very basic familiarity with Kerberos is expected (i.e., the first two paragraphs of the Wikipedia article), but this talk won't go very far into how Kerberos works internally.","Robbie Harwood","F-E104",,"IdentityManagement,Security"
"Y","01/26/2018 10:30:00","01/26/2018 10:53:00","Containers","The Fedora Modular Server is Dead, what's next?","Over the past couple years we have been working to restructure the distro in terms of a higher value component called a 'module.' We had planned to deliver the first production version of the modular distro with F27. However, as we ran up to the release the result had some &nbsp;problems that we didn't feel comfortable shipping.Come hear about why we started down this road and our milestones along the way. We will also discuss the details of why the approach we had failed and why our new approach will work.. We will also demonstrate an early version of the 'addon approach.' We will also demonstrate some of the advantages of a modular-aware distribution to container & system management.","Langdon White","C-D0207",,"Containers,Platform/OS"
"Y","01/26/2018 13:00:00","01/26/2018 13:23:00","Security & IdM","Why I seldom file bugs against SELinux policy","From time to time, especially with new version of operating system, new errors may show up, and sometimes they are accompanied by AVC denials, pointing to errors in SELinux policy. When that happens for example in Fedora, as a good community member you might be inclined to just file bug against selinux-policy. That might however leave the package maintainer out of the loop and not lead to proper fix. Enforcing SELinux sometimes discovers real bugs, real regressions, and it should ideally be embraced by all maintainers. We will look at real-life examples when AVC denials have actually helped to uncover real bugs.","Jan Pazdziora","F-E104",,"Community,Development,Platform/OS,Security,Testing"
"Y","01/26/2018 13:30:00","01/26/2018 14:23:00","AI/ML/Data","Search and Learning-based Software Engineering","Search and learning-based software engineering is about the exploitation of optimization and machine learning methods for the software engineering domain. The goal is to move the practices in software engineering from the human-based to machine-based problem-solving. Search and learning-based software engineering has been examined, researched, and developed in the last decade in the academia. The research output has shown many useful applications for the industry. However, while the area is promising, less effort has been made to transfer those discovered methods from academia to industry. This talk tries to explain the transition opportunities of search and learning-based software engineering from academia to industry. The talk will present many possibilities for applications.","Bestoun S. Ahmed","A-D105",,"AI/Machine Learning,Research,Testing"
"Y","01/26/2018 14:30:00","01/26/2018 15:23:00","Storage","Gluster-4.0 and GD2","Gluster [1] is free and open source software scalable network filesystem. A more complete overview of Gluster can be found at [2].  Gluster-4.0 is the new upcoming major release of GlusterFS, planned for very early 2018. GlusterD-2.0 (GD2) is the distributed management framework used in Gluster-4.0, that is more scalable and easier to use and integrate with than before.  The presentation will provide a attendees with an overview of Gluster, Gluster-4.0 and GD2. Existing users will get to know what to expect when upgrading to Gluster-4.0. New users will get to know what Gluster is, and how it could help them. Developers will get to know how they can develop and integrate with Gluster-4.0 and GD2.  [1]: https://www.gluster.org/ [2]: http://docs.gluster.org/en/latest/Install-Guide/Overview/","Kaushal M","G-E105",,"Storage"
"Y","01/26/2018 11:00:00","01/26/2018 11:23:00","Security & IdM","What's new in PKCS #11 3.0","PKCS #11 3.0 is the first new major release of PKCS #11 since 2.0. There are several new features including the ability to add new functions to PKCS #11 in a backward compatible way. This feature is used to add AEAD algorithms (AES GCM, CHACHA/POLY) is a more seamless way. The feature is also used to allow better fork() semantics in PKCS #11 3.0. The talk will go over the new features in 3.0 with the idea of encouraging the adoption of those new features in open source products. The new spec is expected to be final just before dev conf. If it's not, the talk will update when the spec is expected to come out.","Robert Relyea","F-E104",,"Security"
"Y","01/26/2018 16:30:00","01/26/2018 16:53:00","Containers","Who needs containers in a serverless world?","With the rise of Docker, we have seen an unprecedented interest from developers in container technologies. Many agree that they are highly beneficial for modern practices like Agile and DevOps. But there is a new kid in town that proclaims a more radical approach called Serverless. It suggests that you should only write high-level functions and react to events. The underlying compute infrastructure is transparent to the user. That raises the question: Should you still write your own containers? And who now needs containers in a serverless world?  In this talk we confront these two approaches from a containers advocate and serverless fanboy viewpoints. We show the differences, individual strengths and weaknesses and where they complement each other.","Vašek Pavlín; Matthias Luebken","C-D0207",,"Cloud,Containers"
"Y","01/26/2018 11:30:00","01/26/2018 11:53:00","Development","Take Care of Hundred Containers and Not Go Crazy","Imagine you have four different databases, five popular languages, and six other interesting technologies, that you want to put into container image, make them nicely run in OpenShift, and support for few years. However, you soon realize that you want to support not only one version of the particular technology, and the images are not based on one distribution only. Then you easily find yourself developing and maintaining hundred of container images or more.  Something similar happened to us and I admit we did not know all the tricks from the first minute. Come and hear what issues we met during the way, so you do not repeat them as well. We will cover upstream/downstream design, de-duplication of the sources from more perspectives, automation based on Jenkins, and of course testing.","Honza Horak","H-E112",,"Community,Containers,Database,Platform/OS,Testing"
"Y","01/26/2018 15:00:00","01/26/2018 15:23:00","Containers","Making Kubernetes Simple","Making Kubernetes SimpleToday, it's difficult for developers to write applications, learn Kubernetes, and then define how to deploy on Kubernetes.Kubernetes is very powerful, but it also very verbose. Kedge is a simple and easy way to define and deploy applications to Kubernetes. It helps developers by simplifying &ldquo;the getting started on Kubernetes experience&rdquo; without compromising on the power of Kubernetes. Among other things it has support for smart completion in editors using the Language Server Protocol. This talk will introduce the simple Kedge format to define Kubernetes applications and demo the complete application lifecycle and workflow with Kedge and minikube/minishift (from local dev environment to production).Project: 'https://github.com/kedgeproject/kedge'","Tomáš Král","C-D0207",,"Containers,Development"
"Y","01/26/2018 13:30:00","01/26/2018 14:23:00","Storage","What's new in Kubernetes storage","Kubernetes got several interesting storage related features:  - Snapshots - Local volumes - Resizeable volumes - Container Storage Interface (CSI) - Mount propagation  Live demos!","Jan Šafránek","G-E105",,"Cloud,Containers,Storage"
"Y","01/26/2018 15:00:00","01/26/2018 15:53:00","Desktop","Flatpaking your app for fame and fortune","Flatpak is a new cross-distribution, sandboxing deployment mechanism for desktop applications. This talk will explain how you, as an upstream developer can create a flatpak version of your application, reaching a large audience and getting a more direct channel to your users.  The session will start with the basics of building and distributing flatpaks, and then cover more advanced topics like how to tweak the sandbox to allow access to the things your app needs, and finally how you can modify your application to work better when sandboxed without such access.","Alexander Larsson","E-G202",,"Desktop,Development"
"Y","01/26/2018 13:30:00","01/26/2018 13:53:00","Security & IdM","Managing the Desktop profiles of your fleet!","This talk will go through what Fleet Commander is (and, consequently, what Fleet Commander is *not* intended for), which are the solutions proposed by the project, how Fleet Commander interacts with SSSD and FreeIPA and, plans for the future and finally provide a Demo of the current state of the project.","Fabiano Fidêncio; Oliver Gutierrez","F-E104",,"Desktop,IdentityManagement"
"Y","01/26/2018 15:00:00","01/26/2018 15:23:00","Development","C# development in Fedora","Do you like C#? Write and deploy your code on Fedora! Take a look at available IDE's, how to interact with Linux from C# code, and how easy it is to deploy.","Radka Janeková; Tom Deseyn","H-E112",,"Development"
"Y","01/26/2018 14:00:00","01/26/2018 14:23:00","Desktop","A status update on GTK+ 4","In this presentation, I will give an overview of the current state of GTK+ 4 development. This will include a high-level explanation of how rendering and input worked in GTK+ 3, what changes we are making for GTK+ 4, and why we are making them.  I will show some examples of things that will become possible with GTK+ 4.","Matthias Clasen","E-G202",,"Desktop"
"Y","01/26/2018 11:30:00","01/26/2018 11:53:00","Networking","libnftables: Status Quo","When it comes to integrating nftables support into firewall-managing applications such as firewalld, in the past developers were presented with merely two options: either using the very low-level nftnl library or calling 'nft' utility and parsing its output. The latter is disapproved by the maintainer since 'nft' utility really is designed for human interaction. Making use of libnftnl on the other hand will lead to partial reimplementation of 'nft' utility internals - so not really an alternative either.  A new library named libnftables aims to solve this. The presenter will give an overview of past, current and future development as well as a status report of integration into firewalld as alternative backend to the previous combination of iptables, ebtables and ipset.","Phil Sutter","B-D0206",,"Configuration Management,Community,Development,DevOps,Networking,Platform/OS,Security"
"Y","01/26/2018 16:00:00","01/26/2018 16:23:00","Development","The Sunk-Cost Fallacy: The Other Hard CS Problem","One of the most difficult hurdles any development project will ever encounter is the decision on when to cut their losses and move on to a new approach. In this session, I will discuss the concept of the sunk-cost fallacy, how to remain aware of it, how to avoid falling into it and how to climb out of it once you are there.  I will provide several real-world examples of projects at Fedora and Red Hat that have had to make these decisions.","Stephen Gallagher","H-E112",,"Agile,Community,Development"
